KIN;2151792089
KNO;1087994813
KED;947646862
KEN;603473338
KER;511161815
KET;435577304
KES;379487762
KNE;293842643
KEE;273823702
KIL;250828791
KEL;222487078
KEY;169254436
KLY;114000641
KEP;112959071
KLE;89760193
KIS;73007797
KAN;65755148
KAB;63868593
KID;58625808
KNI;54131878
KGR;53844038
KAR;53781536
KIT;52463576
KAG;49556909
KLI;46532278
KAT;46191352
KOR;41873989
KWA;38547146
KON;37894411
KHA;35245798
KEW;34669967
KIR;34525971
KSO;34490692
KSH;34092428
KIE;33440970
KAL;29779558
KLA;29576416
KAY;26144519
KRA;22897470
KIM;22235746
KFA;20205062
KHO;19996337
KMA;19109171
KRI;19076212
KRU;18085585
KIC;16239166
KYO;15374324
KUL;15340221
KAD;13559415
KIP;13046961
KUP;12715377
KAS;12250385
KTO;12033529
KIA;11966861
KFU;11958892
KAM;11803177
KDO;11617571
KEI;11613818
KME;11368041
KBO;11105528
KEM;10821048
KAI;10775456
KLO;10487452
KUR;10359492
KOT;10061929
KST;9910133
KNA;9662239
KEA;9584587
KUN;9229705
KAP;8492174
KOL;8413083
KWO;8103448
KFO;8027539
KOV;7943766
KPL;7642502
KOU;7466678
KRO;7415793
KYL;7262388
KAU;7165195
KEF;7089654
KHE;6943064
KEV;6916226
KWE;6838601
KOC;6495650
KOH;6397784
KOS;6214993
KEG;5997935
KAH;5880814
KKE;5823847
KEO;5561836
KHS;5518026
KLU;5301612
KSE;4914237
KEH;4759456
KRE;4723411
KYA;4626975
KSG;4457463
KOK;4336739
KSM;4327551
KTA;4202571
KTH;4115298
KUM;4091216
KTI;3996177
KWI;3971671
KPI;3943223
KAZ;3897672
KAW;3871765
KOW;3769962
KEU;3765139
KPO;3641243
KSP;3640680
KUW;3605018
KNU;3546777
KOO;3515157
KDA;3394377
KUO;3256541
KPA;3163044
KOB;3131220
KHR;3057738
KCA;2968963
KUA;2950012
KOM;2906524
KAF;2821402
KUH;2754062
KKA;2732053
KBU;2675809
KOP;2649679
KSB;2649655
KBA;2601397
KOD;2573141
KUS;2451743
KBE;2291430
KAO;2234430
KII;2180475
KSI;2136344
KUB;2128429
KDR;2090227
KIO;2084960
KOF;1997636
KSA;1996754
KBI;1988061
KKI;1885380
KHZ;1872190
KOE;1835961
KUT;1762181
KIB;1722425
KHI;1698508
KAC;1612145
KVI;1605698
KFI;1554610
KYR;1501687
KHT;1488613
KIK;1477234
KHU;1454822
KBR;1453112
KHM;1441404
KFL;1379456
KEB;1371606
KUG;1358832
KWH;1352774
KYU;1337553
KSC;1265855
KYS;1262201
KGB;1244191
KUD;1221349
KAV;1214748
KOI;1214569
KUY;1120761
KRS;1116443
KYI;1003096
KYE;961672
KAA;956446
KIV;945949
KUK;906062
KSK;901740
KJA;883243
KAK;879810
KSW;861894
KCL;854472
KOG;845143
KTU;839773
KTR;839213
KHY;794628
KAE;786273
KUZ;782274
KMT;756633
KVA;721894
KIF;714005
KMO;703141
KRY;682708
KOZ;669995
KMS;657811
KIW;614237
KGS;589032
KFE;578484
KOY;577744
KJV;577361
KPE;575175
KUI;557427
KSL;551996
KMU;544111
KUF;522823
KDE;520941
KOA;499606
KBP;498870
KOJ;494742
KTE;494469
KFR;468375
KYD;427676
KCO;421267
KEC;419811
KUE;407918
KYW;403443
KVD;402456
KGU;401844
KUC;391096
KSS;376094
KAJ;366808
KSD;366182
KSU;354691
KIY;353105
KKH;349555
KHW;347598
KJE;331688
KKU;330686
KJO;330056
KWR;329009
KYP;315580
KYN;312035
KRT;307518
KGO;304038
KKO;290612
KKN;262687
KCR;260508
KIU;252797
KGA;243256
KPD;239620
KBY;219485
KMI;192999
KNT;189544
KSR;187950
KLM;185878
KKK;184092
KSV;178059
KHP;173253
KPC;168302
KVP;167981
KSZ;165621
KCH;161173
KSY;149254
KXP;148265
KYM;140738
KBS;139544
KPM;137370
KSN;132334
KAX;129508
KIG;128937
KPR;127797
KHB;120853
KEK;113987
KDP;112182
KRZ;111380
KCN;104976
KGL;103228
KPH;101069
